时间/s,PPG_G,PPG_R,PPG_IR,U1h,U1l,U2h,U2l,U3h,U3l,U4h,U4l,ACCX,ACCY,ACCZ,GX,GY,GZ
1.159834,4074,28933,29556,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.160842,4246,29786,30810,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.179037,4435,30538,31958,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.181157,4622,31135,32862,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.200687,4797,31601,33618,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.201687,4953,31956,34259,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.21909,5075,32189,34672,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.221117,5172,32313,34912,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.238742,5276,32336,35039,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.240762,5392,32324,35117,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.259438,5511,32279,35148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.260702,5631,32241,35169,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.27094,5746,32232,35220,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.27296,5857,32239,35291,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.290815,5950,32268,35386,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.308555,6028,32329,35498,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.310741,6098,32383,35602,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.330467,6144,32425,35679,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.331491,6195,32451,35744,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.351327,6244,32474,35804,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.352391,6293,32490,35846,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.369489,6328,32513,35890,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.370689,6367,32527,35934,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.388876,6399,32548,35968,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.391071,6435,32562,36008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
