时间/s,PPG_G,PPG_R,PPG_IR,U1h,U1l,U2h,U2l,U3h,U3l,U4h,U4l,ACCX,ACCY,ACCZ,GX,GY,GZ
1.918854,5328,32073,35462,0,0,0,0,0,0,0,0,0.00793,0.003538,0.003538,0,0,0
1.938523,0,0,0,0,0,0,0,0,0,0,0,0.003294,0.004392,0,0,0.3675,0
1.939619,5337,32080,35487,0,0,0,0,0,0,0,0,0,0,0.00183,0,0.21,0
1.959532,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004636,0,0,0
1.960936,5350,32093,35510,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.97681,0,0,0,0,0,0,0,0,0,0,0,0,0.002562,0,0,0,0
1.979405,5361,32096,35516,0,0,0,0,0,0,0,0,0,0.008052,0,0,0,0
1.999306,0,0,0,0,0,0,0,0,0,0,0,0,0.00183,0.017446,0,0,0
2.000402,5368,32093,35517,0,0,0,0,0,0,0,0,0,0.002074,0.01891,0,0,0
2.018208,0,0,0,0,0,0,0,0,0,0,0,0.00793,0.006344,0,0,0,0
2.019357,5376,32096,35523,0,0,0,0,0,0,0,0,0,0.006344,0,0,0.63,0.4725
2.03855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.455,1.365
2.039862,5381,32095,35522,0,0,0,0,0,0,0,0,0,0,0,0,0.1575,1.4175
2.058333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00061,0,0.7875,1.575
2.060359,5379,32088,35503,0,0,0,0,0,0,0,0,0,0,0,0,0.7175,2.2925
2.076816,0,0,0,0,0,0,0,0,0,0,0,0.007686,0.000122,0,0,1.05,1.33
2.079345,5365,32076,35473,0,0,0,0,0,0,0,0,0.001952,0.00976,0.009516,0,2.1875,1.085
2.098425,0,0,0,0,0,0,0,0,0,0,0,0,0.011224,0.01464,0,3.29,1.47
2.099931,5344,32064,35447,0,0,0,0,0,0,0,0,0.000122,0,0.013786,0,2.4325,2.1
2.108438,0,0,0,0,0,0,0,0,0,0,0,0.019642,0.003538,0,0,0.5775,1.2775
2.109494,5319,32056,35413,0,0,0,0,0,0,0,0,0,0.007686,0.000976,0,1.3475,0
2.128508,0,0,0,0,0,0,0,0,0,0,0,0.008174,0,0.01525,0,1.7325,0.7175
2.148279,5292,32042,35384,0,0,0,0,0,0,0,0,0.008784,0.002928,0.003538,0,0.3675,0
2.149338,0,0,0,0,0,0,0,0,0,0,0,0.008662,0,0.002684,0,0.1925,0
2.168434,5271,32037,35366,0,0,0,0,0,0,0,0,0.007198,0,0,0,0.595,0
2.169494,0,0,0,0,0,0,0,0,0,0,0,0,0.004758,0.003416,0,0,0
2.187427,5257,32031,35352,0,0,0,0,0,0,0,0,0,0,0.000854,0,0,0
2.188935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.207438,5245,32025,35331,0,0,0,0,0,0,0,0,0.024278,0,0.00183,0,0,0
2.208951,0,0,0,0,0,0,0,0,0,0,0,0,0.004392,0.017568,0,0,0
2.226935,5233,32015,35307,0,0,0,0,0,0,0,0,0,0,0.013664,0,0,0
2.229481,0,0,0,0,0,0,0,0,0,0,0,0.002196,0.00671,0,0,0,0
2.246454,5227,32015,35299,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07
2.249126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175,0.9625
2.267623,5223,32013,35292,0,0,0,0,0,0,0,0,0,0.008418,0,0,0,1.435
2.269137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,1.68
2.287185,5222,32013,35291,0,0,0,0,0,0,0,0,0,0,0,0,1.1725,1.855
2.288693,0,0,0,0,0,0,0,0,0,0,0,0.009516,0,0.000854,0,1.1375,1.645
2.308645,5222,32012,35298,0,0,0,0,0,0,0,0,0.007686,0.007564,0.000488,0,1.26,1.015
2.309711,0,0,0,0,0,0,0,0,0,0,0,0,0.000488,0.005734,0,3.1325,1.61
2.328462,5228,32023,35329,0,0,0,0,0,0,0,0,0.026718,0,0.011468,0,2.1175,2.03
2.329714,0,0,0,0,0,0,0,0,0,0,0,0.019032,0.00549,0,0,0.875,0.4025
2.348564,5238,32030,35347,0,0,0,0,0,0,0,0,0.011224,0,0,0,0.91,0.2975
2.349635,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008296,0,1.89,0.28
2.357221,5245,32036,35359,0,0,0,0,0,0,0,0,0.007442,0.008052,0,0,0.385,0
2.377893,0,0,0,0,0,0,0,0,0,0,0,0.005002,0,0.002562,0,0.6475,0
2.379423,5250,32040,35372,0,0,0,0,0,0,0,0,0.008418,0.0061,0.002196,0,0.35,0
2.397488,0,0,0,0,0,0,0,0,0,0,0,0.002562,0.01159,0.00427,0,0,0
2.398994,5254,32046,35388,0,0,0,0,0,0,0,0,0,0,0.009882,0,0,0
2.416895,0,0,0,0,0,0,0,0,0,0,0,0,0.003416,0.003416,0,0,0
2.419467,5259,32048,35394,0,0,0,0,0,0,0,0,0.01647,0,0,0,0,0
2.436717,0,0,0,0,0,0,0,0,0,0,0,0.010858,0.000976,0,0,0,0
2.440238,5261,32046,35386,0,0,0,0,0,0,0,0,0,0.004636,0.006466,0,0,0
2.458252,0,0,0,0,0,0,0,0,0,0,0,0,0.001586,0,0,0,0
2.459383,5266,32045,35391,0,0,0,0,0,0,0,0,0.0061,0.010248,0,0,0,0
2.477288,0,0,0,0,0,0,0,0,0,0,0,0,0.004758,0,0,0,0.0875
2.4787,5269,32046,35395,0,0,0,0,0,0,0,0,0,0,0,0,0.3325,1.4
2.498219,0,0,0,0,0,0,0,0,0,0,0,0,0.00305,0.000122,0,0,1.47
2.499871,5273,32047,35394,0,0,0,0,0,0,0,0,0,0,0.002806,0,0.6125,1.75
2.518475,0,0,0,0,0,0,0,0,0,0,0,0.002684,0,0,0,0.8575,1.7325
2.519581,5277,32046,35398,0,0,0,0,0,0,0,0,0.008418,0.00671,0,0,1.085,1.435
2.538517,0,0,0,0,0,0,0,0,0,0,0,0.004026,0.0122,0.00061,0,2.2925,1.1375
2.539586,5285,32051,35416,0,0,0,0,0,0,0,0,0,0,0.000244,0,3.605,1.435
2.548987,0,0,0,0,0,0,0,0,0,0,0,0.014396,0.004392,0,0,1.82,0.8225
2.566866,5297,32065,35447,0,0,0,0,0,0,0,0,0.012078,0.000366,0,0,0.77,0.455
2.570416,0,0,0,0,0,0,0,0,0,0,0,0.005124,0,0.012078,0,1.5225,0.1225
2.589694,5307,32073,35469,0,0,0,0,0,0,0,0,0.010126,0,0.014396,0,1.2775,0
2.59071,0,0,0,0,0,0,0,0,0,0,0,0.005734,0,0.007198,0,0.7,0
